"sent_no","sent_raw","syuzhet","bing","afinn","nrc"
1821,"But here was something strange.",-0.5,-1,-1,0
1822,"Three days before, she had asked a mysterious question.",-0.4,-1,0,1
1823,"We were mid-embrace, in the conventional position.",-0.25,0,1,1
1824,"She drew my face towards hers.",0,0,0,0
1825,"Her look was serious.",0,0,0,0
1826,"She whispered, ""Tell me something.",0,0,0,0
1827,"Are you real?""",0.25,0,0,1
1828,"I did not reply.",0,0,0,0
1829,"She turned her head away so that I saw her in profile as her eyes closed and she lost herself once more in a maze of private pleasure.",-0.25,0,0,-1
1830,"Later that night, I asked her about it.",0,0,0,0
1831,"""It was nothing,"" was all she said before she changed the subject.",0,0,0,-1
1832,"Was I real?",0.25,0,0,1
1833,"Meaning did I really love her, or was I honest, or did I fit her needs so exactly that she might have dreamed me up?",1.9,2,6,2
1834,"I crossed the kitchen to pour the last of the wine.",0,0,0,0
1835,"The broken fridge door handle needed a sharp sideways pull to engage its lock.",-0.15,0,0,0
1836,"As my hand closed round the cold neck of the bottle, I heard a sound, a creak above my head.",-0.5,-2,0,-1
1837,"I had lived long enough beneath Miranda's feet to know her steps and their precise direction.",0.25,2,0,1
1838,"She had moved across her bedroom and was hesitating in the threshold of her kitchen.",0,0,0,0
1839,"I heard the murmur of her voice.",-0.25,0,0,0
1840,"No reply.",0,0,-1,0
1841,"She took another two steps into the room.",0,0,0,0
1842,"The next would bring her onto a floorboard that under pressure made a truncated quacking sound.",-0.5,0,-1,-1
1843,"As I waited to hear it, Adam spoke.",0,0,0,-1
1844,"He pushed his chair back as he stood.",0,0,0,0
1845,"If he was to take another step he would need to untether himself.",0,0,0,0
1846,"This he must have achieved because it was his tread that landed on the noisy floorboard.",-0.75,-1,-1,0
1847,"That meant they were standing less than a metre apart, but there was no sound until a minute had passed, and now it was footsteps, two sets, moving back towards the bedroom.",0,0,-1,1
1848,"I left the fridge door open because the sound of it closing would betray me.",-0.75,-1,-3,-1
1849,"No choice but to shadow them into my bedroom.",0.4,0,-1,1
1850,"So I went and stood by my desk and listened.",0,0,0,0
1851,"I reckoned I was right under her bed when I heard the murmur of her voice, a command.",0.55,1,0,0
1852,"She must have wanted air in the room, for Adam's steps tracked across the room towards the Victorian bay.",0,0,0,0
1853,"Only one of its three windows opened.",0,0,0,0
1854,"Even that one was hard to shift on a warm or rainy day.",0,0,-1,0
1855,"The old wooden frames shrank or expanded, and something was wrong with the counterweight and hardened rope.",-1.5,-2,-2,-2
1856,"Our age could devise a passable replica of a human mind, but there was no one in our neighbourhood to fix a sash window, though a few had tried.",0,0,-1,0
1857,"And how was my mind as I stood directly below, in an identical bay, reproduced by the thousands in late-Victorian industrial-scale developments?",0,0,0,-1
1858,"They had spilled across the five-acre fields of hedgerow and boundary oaks that adorned the southern limits of London.",0.15,-1,-1,0
1859,"Not good--my mind, that is.",0,1,3,1
1860,"Embodied, it told all.",0,0,0,0
1861,"Shivering, moist, especially on the palms, raised pulse, in a state of elated anticipation.",1.25,1,4,1
1862,"Fear, self-doubt, fury.",-1.25,-3,-3,-3
1863,"In my bay, old fitted carpet, stained and worn since the mid-fifties, extended right to the skirting boards.",1.1,0,-1,-1
1864,"In Miranda's, the carpet gave way to bare boards that, two world wars back, must have been polished to a nut-brown gleam.",-0.5,1,2,1
1865,"Some poor girl in white apron and mob cap, on all fours, waxed cloth in hand, never could have dreamed of the kind of being who would one day stand in the place where she crouched.",-0.4,-1,0,1
1866,"I heard him plant his feet on the old wood, I imagined him stooping to grip the window by the metal fixtures on its lower frame and heave upwards with the strength of four young men.",0.9,0,2,1
1867,"There was a silence of straining resistance before the entire window shot upwards and hit the top casing with a rifle crack and a shattering of glass.",-3.35,-2,2,-4
1868,"My snort of delight could have given me away.",1,1,3,1
1869,"No shortage now of marginally cooler air filling the room.",-1.15,-2,-3,-1
1870,"My glee faded as Adam's footsteps returned to where Miranda waited by the bed.",0.75,1,3,1
1871,"As he went towards her, it might have been an apology that he muttered.",0.6,0,-1,1
1872,"Here was the sound of her forgiving him, for her brief sentence was followed by the entwined mezzo and tenor of their laughter.",1.55,0,-1,1
1873,"I had trailed after Adam and was once more by the bed, six feet under.",0,0,0,0
1874,"He had the manual skills to undress her and he was undressing her now.",0,0,0,0
1875,"What else would occupy their silence?",0.25,0,0,1
1876,"I knew--of course I knew--that her mattress made no sound.",0,0,-1,0
1877,"Futons, with their Japanese promise of a clean and simple life of stripped-back clarity, were the fashion then.",2,3,5,1
1878,"And I myself felt washed in clarity, senses cleansed as I stood in the dark and waited.",-0.1,0,2,0
1879,"I could have run up the stairs and prevented them, burst into the bedroom like the clownish husband in an old seaside postcard.",0.75,1,1,0
1880,"But my situation had a thrilling aspect, not only of subterfuge and discovery, but of originality, of modern precedence, of being the first to be cuckolded by an artefact.",2.2,3,0,4
1881,"I was of my times, riding the breaking crest of the new, ahead of everyone in enacting that drama of displacement so frequently and gloomily predicted.",0.75,-1,0,1
1882,"Another element of my passivity: even at this earliest moment, I knew I had brought the whole thing down on myself.",-0.25,0,0,-1
1883,"But that was for later.",0,0,0,0
1884,"For now, despite the horror of betrayal, it was all too interesting and I could not stir from my role of eavesdropper, the blind voyeur, humiliated and alert.",-2.5,-1,-6,-2
1885,"It was my mind's eyes, or my heart's, that watched as Adam and Miranda lay down on the unyielding embrace of the futon and found the comfortable posture for a clasp of limbs.",0.85,0,3,1
1886,"I watched as she whispered in his ear, but I did not hear the words.",0,0,0,-1
1887,"She had never whispered in my ear at such times.",0,0,0,0
1888,"I saw him kiss her--longer and deeper than I had ever kissed her.",0.5,0,2,1
1889,"The arms that heaved up the window frame were tightly around her.",-0.4,0,0,0
1890,"Minutes later I almost looked away as he knelt with reverence to pleasure her with his tongue.",1.25,2,3,1
1891,"This was the celebrated tongue, wet and breathily warm, adept at uvulars and labials, that gave his speech its authenticity.",2.85,2,4,4
1892,"I watched, surprised by nothing.",0,0,0,0
1893,"He did not fully satisfy my beloved then, as I would have, but left her arching her slender back, eager for him as he arranged himself above her with smooth, slow loris formality, at which point my humiliation was complete.",2.85,2,2,2
1894,"I saw it all in the dark--men would be obsolete.",-0.5,-2,-2,0
1895,"I wanted to persuade myself that Adam felt nothing and could only imitate the motions of abandonment.",-0.25,0,0,-1
1896,"That he could never know what we knew.",0,0,0,0
1897,"But Alan Turing himself had often said and written in his youth that the moment we could not tell the difference in behaviour between machine and person was when we must confer humanity on the machine.",0.65,0,0,2
1898,"So when the night air was suddenly penetrated by Miranda's extended ecstatic scream that whispered to a moan and then a stifled sob--all this I actually heard twenty minutes after the shattering of the window--I duly laid on Adam the privilege and obligations of a conspecific.",-2.05,-1,-1,-2
1899,"I hated him.",-0.5,-1,-3,0
1900,"Early the following morning, for the first time in years, I tipped into my coffee a heaped spoon of sugar.",0,0,0,1
1901,"I watched the confined, nut-brown disc of fluid turn, then slow, in its clockwise motion, then lose all purpose in a chaotic swirl.",-1.75,-4,-2,-3
1902,"Tempting, but I resisted a metaphor for my own existence.",-0.25,1,0,1
1903,"I was trying to think and it was barely seven thirty.",0,0,0,0
1904,"Soon Adam or Miranda or both would appear at my door.",0,0,0,0
1905,"I wanted my thoughts and attitude in coherent form.",0.75,1,0,1
1906,"After a night of broken sleep, I was depressed as well as angry with myself, and determined not to appear so.",-1.2,-2,-4,-2
1907,"Miranda had kept her distance from me and so, by contemporary standards, a night with someone else, even something else, was not quite a betrayal.",-0.35,-1,-3,-1
1908,"As for the ethical dimensions of Adam's behaviour, here was a history with a curious beginning.",1.15,1,3,1
1909,"It was during the miners' strike of twelve years before that self-driving cars first appeared on experimental sites, mostly disused airfields, where movie set designers had constructed imitation streets, motorway junctions and various hazards.",-2.4,-1,-1,-3
1910,"""Autonomous"" was never the right word, for the new cars were as dependent as newborn babies on mighty networks of computers linked to satellites and on-board radar.",2.95,3,0,2
1911,"If artificial intelligence was to guide these vehicles safely home, what set of values or priorities should be assumed in the software?",1.6,2,1,2
1912,"Fortunately, in moral philosophy there already existed a well-explored set of dilemmas known in the business as ""the trolley problem.""",0.35,1,0,0
1913,"Adapted easily to cars, the sort of problem manufacturers and their software engineers now posed was this: you, or rather, your car is driving at the maximum legal speed along a narrow suburban road.",-1,-1,-1,1
1914,"The traffic is flowing nicely.",1,1,0,0
1915,"On the pavement on your side of the road is a group of children.",0,0,0,0
1916,"Suddenly one of them, a child of eight, runs out across the road, right into your path.",1.4,1,0,1
1917,"there is a fraction of a second to make a decision--either mow the child down or swerve onto the crowded pavement or into the oncoming traffic and collide head on with a truck at a closing speed of eighty miles an hour.",-0.5,-1,-1,1
1918,"you are alone, so that is fine, sacrifice or save yourself.",0.15,1,2,1
1919,"What if your spouse and your two children are in the car?",0.6,0,0,1
1920,"Too easy?",0.8,1,1,0
1921,"What if it is your only daughter, or your grandparents, or your pregnant daughter and your son-in-law, both in their mid-twenties?",0.6,0,0,1
1922,"Now take into account the occupants of the truck.",0,0,0,0
1923,"A fraction of a second is more than enough time for a computer to give thorough consideration to all the issues.",-0.25,0,0,0
1924,"The decision will depend on the priorities ordered by the software.",0,0,0,0
1925,"While mounted policemen charged at miners, and manufacturing towns across the country began their long, sad descent in the because of free markets, the subject of robot ethics was born.",0.5,0,-4,0
1926,"The international automobile industry consulted philosophers, judges, specialists in medical ethics, game theorists and parliamentary committees.",0.4,0,0,2
1927,"Then, in universities and research institutes, the subject expanded on its own.",0,0,0,-1
1928,"Long before the hardware was available, professors and their postdocs devised software that conjured our best selves--tolerant, open-minded, considerate, free of all taint of scheming, malice or prejudice.",1.05,1,4,-1
